run_id,seed,scope,station_id,station_name,hour,mae,rmse,mape,r2,n_samples,best_val_loss
2,43,overall,,,,989.335029626799,1437.6964057404157,8.060169404433717,0.993605346885838,444,0.0003376582124572549
2,43,station,0,ikebukuro,,1556.34853683694,2069.637352552832,7.774717594495424,0.9794213971904366,111,
2,43,station,1,nihonbashi,,642.9654594918771,921.2549263230583,9.353026582820952,0.9980965556718533,111,
2,43,station,2,shibuya,,668.7977540099673,976.6515303853366,6.164539041425248,0.9942631935266867,111,
2,43,station,3,shinjuku,,1089.2283681684116,1477.134455002395,8.948394398993239,0.9945837984542286,111,
2,43,baseline_persistence,,,,3808.671171171171,5274.283085542664,25.09350893162805,0.9139383866966119,444,
2,43,baseline_persistence,0,ikebukuro,,3623.3963963963965,4603.133242547803,18.442681123774722,0.8982031189180594,111,
2,43,baseline_persistence,1,nihonbashi,,4437.306306306306,6416.548432630138,29.213571026185864,0.9076613590394423,111,
2,43,baseline_persistence,2,shibuya,,2759.3603603603606,3615.2987652699135,23.11316440972827,0.9213897264306792,111,
2,43,baseline_persistence,3,shinjuku,,4414.621621621622,5986.729797365726,29.604619166823333,0.9110319507982119,111,
2,43,baseline_seasonal_naive,,,,2604.641891891892,6242.806861691894,11.75842925887021,0.8794291259041231,444,
2,43,baseline_seasonal_naive,0,ikebukuro,,2174.936936936937,3701.0166292641934,10.527810868276692,0.9341934000509913,111,
2,43,baseline_seasonal_naive,1,nihonbashi,,4060.3063063063064,10113.31995662379,14.467197086970836,0.7706134130809268,111,
2,43,baseline_seasonal_naive,2,shibuya,,1235.5585585585586,2121.5822860300273,9.01487124413144,0.9729286020383675,111,
2,43,baseline_seasonal_naive,3,shinjuku,,2947.765765765766,5950.854898081285,13.023837836101867,0.9120950209136969,111,
2,43,global_hourly,,,0,1133.9196612883825,1500.6818113127918,34.72850804846901,,16,
2,43,global_hourly,,,1,495.0440320666239,606.8357648141515,26.514560775695895,,16,
2,43,global_hourly,,,2,276.37987842212897,351.08391833413975,11.65264274599001,,16,
2,43,global_hourly,,,3,321.0950996342581,427.6774852621067,12.074759002411584,,16,
2,43,global_hourly,,,4,373.06413339218125,469.20858852923925,15.18436278551504,,16,
2,43,global_hourly,,,5,576.2743394100107,729.0974755658568,19.182331463492574,,16,
2,43,global_hourly,,,6,868.9043383840474,1167.1387229279374,16.963895219552843,,16,
2,43,global_hourly,,,7,962.4615285750479,1216.0191952544967,9.667069581120957,,16,
2,43,global_hourly,,,8,1686.8552531838425,2289.088453327751,7.3170867469326915,,20,
2,43,global_hourly,,,9,923.3818464517593,1443.7394032040784,3.3276911302052548,,20,
2,43,global_hourly,,,10,1112.2500998675828,1468.9499433145165,3.5132412765793064,,20,
2,43,global_hourly,,,11,772.4841744422916,1001.2549275746352,2.3826141317823923,,20,
2,43,global_hourly,,,12,2184.8464575052253,2676.397878050505,5.518802794690947,,20,
2,43,global_hourly,,,13,1667.3120553016656,2190.598002354201,4.1976458160166334,,20,
2,43,global_hourly,,,14,804.9442734599112,1064.7875598979494,2.0143314135388843,,20,
2,43,global_hourly,,,15,789.6339979290963,946.4041724904513,1.8521624393641227,,20,
