metric,mean,std,section,station,hour,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,model,r2_mean,r2_std
mae,1089.7130577640478,144.8339583864326,test_overall,,,,,,,,,,,
rmse,1637.585497835597,168.92804584135308,test_overall,,,,,,,,,,,
mape,7.948645520641636,0.6842775608046185,test_overall,,,,,,,,,,,
r2,0.9918599233368539,0.001755560228449685,test_overall,,,,,,,,,,,
mae,1401.7605401603753,198.08679533597262,test_per_station,ikebukuro,,,,,,,,,,
rmse,1912.7867402568154,257.0570972687705,test_per_station,ikebukuro,,,,,,,,,,
mape,6.444726294074042,0.8090931649931568,test_per_station,ikebukuro,,,,,,,,,,
r2,0.9830997618255897,0.004745591457252473,test_per_station,ikebukuro,,,,,,,,,,
mae,937.3611267655864,112.86398860924123,test_per_station,nihonbashi,,,,,,,,,,
rmse,1673.0384167130808,99.424023963854,test_per_station,nihonbashi,,,,,,,,,,
mape,9.040343184802165,1.3655882456610091,test_per_station,nihonbashi,,,,,,,,,,
r2,0.9938068331775469,0.0007299631695089207,test_per_station,nihonbashi,,,,,,,,,,
mae,813.8499315827454,147.54768131421602,test_per_station,shibuya,,,,,,,,,,
rmse,1081.7306141567126,177.4915417747767,test_per_station,shibuya,,,,,,,,,,
mape,7.646747548276198,0.6652007118475248,test_per_station,shibuya,,,,,,,,,,
r2,0.9929710111328822,0.002390220498625798,test_per_station,shibuya,,,,,,,,,,
mae,1205.8806325474832,234.3302754142593,test_per_station,shinjuku,,,,,,,,,,
rmse,1744.8957120083364,258.50903516576983,test_per_station,shinjuku,,,,,,,,,,
mape,8.662765055414143,1.0994601180522328,test_per_station,shinjuku,,,,,,,,,,
r2,0.9925530566981576,0.0023900847406063083,test_per_station,shinjuku,,,,,,,,,,
,,,test_global_hourly,,0.0,768.6496829223122,206.9608761261657,879.3410083182513,210.05363653764925,22.51258165275077,5.621733590516526,,,
,,,test_global_hourly,,1.0,454.84915675063775,148.82084190840988,532.5622155718571,161.67647053602676,22.638528661780473,6.880082017498106,,,
,,,test_global_hourly,,2.0,420.2167491624985,99.35387465628175,493.5234877582815,119.81831887983701,18.681429351019418,4.99549419668691,,,
,,,test_global_hourly,,3.0,355.1174740048591,87.43207340871196,428.08471071506756,81.32934258861836,15.272171430291547,4.500598073708234,,,
,,,test_global_hourly,,4.0,364.1418248587754,120.98207730358503,435.73160504722216,129.4386830032464,17.19945066739705,6.1264521317118135,,,
,,,test_global_hourly,,5.0,393.1325740734736,105.66493837089834,472.5473591564784,112.06958241459427,14.943212270602729,4.229354471026627,,,
,,,test_global_hourly,,6.0,525.6060158575576,192.88012026680616,676.2904184453379,262.129048487387,10.867963460253998,4.063731454381848,,,
,,,test_global_hourly,,7.0,1227.3179746406772,196.85310195027154,1708.5729535661133,157.24745776260607,11.101224024479118,1.9495657043962626,,,
,,,test_global_hourly,,8.0,2815.7954612975327,312.48591750262227,3936.4049702488737,279.3247583534436,12.750026375367694,1.3649047719618688,,,
,,,test_global_hourly,,9.0,2115.1386931573347,261.5763825641372,3332.1822823762973,212.1343683402175,7.112533848445461,1.037073782905487,,,
,,,test_global_hourly,,10.0,1164.674358721575,290.7212257165948,1599.3115151391983,335.6325133004214,3.759480564338812,0.9250014379665855,,,
,,,test_global_hourly,,11.0,760.391541489959,194.75768131960209,985.8002761278316,229.26333594307766,2.1834786311931693,0.5295407776822149,,,
,,,test_global_hourly,,12.0,1660.142690429091,489.5272995140419,1998.1390671067977,515.1820060985071,4.161939175337802,1.2626236172439707,,,
,,,test_global_hourly,,13.0,1458.1444924160835,577.2391661483233,1766.707415781375,601.0911477210658,3.55160650179958,1.4129111008116542,,,
,,,test_global_hourly,,14.0,789.5936027288435,268.14367074900844,938.6779171733672,301.12285142865227,1.8770370149196887,0.6591338492056252,,,
,,,test_global_hourly,,15.0,824.3575884073971,234.5349659247872,979.7260530572676,290.87268044794666,1.9357788500201387,0.5317209987758734,,,
,,,test_global_hourly,,16.0,856.0893166229127,235.80248928584183,1019.7397044699474,259.83325651121527,1.9714816947561444,0.521919513404953,,,
,,,test_global_hourly,,17.0,970.3834962174294,345.6460014968696,1198.3894979567904,402.79851420563193,2.1755513510273268,0.6974154333905664,,,
,,,test_global_hourly,,18.0,1762.5031385987993,638.4823098201798,2181.3703485489195,644.6895223283244,3.947052769060498,1.376035978343167,,,
,,,test_global_hourly,,19.0,1683.472515834123,445.4408169439577,2099.4628117393304,412.53353416694625,4.191083853185361,1.090952856663363,,,
,,,test_global_hourly,,20.0,1162.5772329695524,206.4666386812034,1419.5561392225623,202.8754897920493,3.7750067489270394,0.6597609205880255,,,
,,,test_global_hourly,,21.0,1458.94772830233,255.52141519433818,1748.354759774523,257.6962326815122,5.857703153337294,1.0768876211773668,,,
,,,test_global_hourly,,22.0,1094.563597291708,228.42545098116096,1312.4012866254907,260.52650665144705,7.374615769341354,1.6754317723149639,,,
,,,test_global_hourly,,23.0,489.32922477709764,93.90528842304566,605.5672085003525,106.4290492411095,6.465302624215416,1.2775054936407995,,,
,,,test_model_comparison,,,1089.7130577640478,144.8339583864326,1637.585497835597,168.92804584135308,7.948645520641636,0.6842775608046185,CrowdLSTM,0.9918599233368539,0.001755560228449685
,,,test_model_comparison,,,3679.138554216867,4.793457962430056e-13,5101.894719948044,0.0,24.72245719068164,0.0,Persistence (t-1),0.921739255291502,0.0
,,,test_model_comparison,,,3253.960843373494,0.0,7200.476814763017,0.0,14.430559652357385,3.744889033148481e-15,Seasonal Naive (t-24),0.8441152955652542,0.0
,,,test_baseline_by_station,ikebukuro,,1401.7605401603753,198.08679533597262,1912.7867402568154,257.0570972687705,6.444726294074042,0.8090931649931568,CrowdLSTM,0.9830997618255897,0.004745591457252473
,,,test_baseline_by_station,ikebukuro,,3617.5783132530114,4.793457962430056e-13,4585.304479385713,9.586915924860112e-13,18.372963317917176,3.744889033148481e-15,Persistence (t-1),0.904436141426762,0.0
,,,test_baseline_by_station,ikebukuro,,2615.9518072289166,4.793457962430056e-13,4236.41319929734,0.0,12.76739269718837,0.0,Seasonal Naive (t-24),0.9184255897362089,1.1702778228589004e-16
,,,test_baseline_by_station,nihonbashi,,937.3611267655864,112.86398860924123,1673.0384167130808,99.424023963854,9.040343184802165,1.3655882456610091,CrowdLSTM,0.9938068331775469,0.0007299631695089207
,,,test_baseline_by_station,nihonbashi,,4199.289156626505,9.586915924860112e-13,6093.991364697856,9.586915924860112e-13,28.785495356086237,3.744889033148481e-15,Persistence (t-1),0.9180919809026108,0.0
,,,test_baseline_by_station,nihonbashi,,5254.445783132529,9.586915924860112e-13,11688.993488109238,1.9173831849720224e-12,18.407307623326638,3.744889033148481e-15,Seasonal Naive (t-24),0.6986459813556369,0.0
,,,test_baseline_by_station,shibuya,,813.8499315827454,147.54768131421602,1081.7306141567126,177.4915417747767,7.646747548276198,0.6652007118475248,CrowdLSTM,0.9929710111328822,0.002390220498625798
,,,test_baseline_by_station,shibuya,,2627.21686746988,0.0,3485.243409936532,0.0,22.313149677502885,3.744889033148481e-15,Persistence (t-1),0.9287601169306487,0.0
,,,test_baseline_by_station,shibuya,,1390.7469879518071,0.0,2373.8131543081195,4.793457962430056e-13,10.597217598611492,0.0,Seasonal Naive (t-24),0.9669516308678329,1.1702778228589004e-16
,,,test_baseline_by_station,shinjuku,,1205.8806325474832,234.3302754142593,1744.8957120083364,258.50903516576983,8.662765055414143,1.0994601180522328,CrowdLSTM,0.9925530566981576,0.0023900847406063083
,,,test_baseline_by_station,shinjuku,,4272.469879518072,0.0,5814.520563687272,9.586915924860112e-13,29.41822041122025,3.744889033148481e-15,Persistence (t-1),0.9189092172087211,1.1702778228589004e-16
,,,test_baseline_by_station,shinjuku,,3754.6987951807228,4.793457962430056e-13,6868.239293148703,9.586915924860112e-13,15.95032069030305,0.0,Seasonal Naive (t-24),0.886855224035196,1.1702778228589004e-16
mae,982.7406756698954,103.95123360525687,val_overall,,,,,,,,,,,
rmse,1551.8407655347432,126.35482269022467,val_overall,,,,,,,,,,,
mape,9.0585542493395,0.9892215379453605,val_overall,,,,,,,,,,,
r2,0.9919950877927375,0.001313205873992787,val_overall,,,,,,,,,,,
,,,val_model_comparison,,,982.7406756698954,103.95123360525687,1551.8407655347432,126.35482269022467,9.0585542493395,0.9892215379453605,CrowdLSTM,0.9919950877927375,0.001313205873992787
,,,val_model_comparison,,,3840.361445783133,4.793457962430056e-13,5354.441756251004,0.0,29.33313027845555,3.744889033148481e-15,Persistence (t-1),0.9052657397223347,1.1702778228589004e-16
,,,val_model_comparison,,,2938.364457831325,0.0,7129.598592407247,9.586915924860112e-13,11.920391950102026,0.0,Seasonal Naive (t-24),0.8320388541302115,0.0
,,,hourly_ikebukuro,,0.0,889.0790393094227,382.576639586827,937.0069384256988,378.4445419521119,11.320348245459801,4.874744151634576,,,
,,,hourly_ikebukuro,,1.0,527.2999281247456,267.50870932534446,583.6027369829769,268.6916192499712,9.893941589321054,5.023485038183384,,,
,,,hourly_ikebukuro,,2.0,514.9421501462658,143.2648197335427,572.0472657236471,150.65855022090267,9.84531488096726,2.6960467078735375,,,
,,,hourly_ikebukuro,,3.0,388.83938867847127,126.00259877170035,475.2938460713009,112.93711262502426,8.096824292106344,2.673942432702396,,,
,,,hourly_ikebukuro,,4.0,290.98818526566026,105.72605082651961,343.40194760244515,117.24034550113808,5.871136833121008,2.138484067180569,,,
,,,hourly_ikebukuro,,5.0,364.6234279175599,180.09108905783637,402.2599560461257,185.45453250195743,6.733028728316109,3.3342287165581204,,,
,,,hourly_ikebukuro,,6.0,782.01509218514,397.9290127567119,936.0208392614375,443.17828936239096,10.632508222819753,5.401513829092684,,,
,,,hourly_ikebukuro,,7.0,1641.1532502869763,260.39227231196736,2126.193744637191,285.3319951677378,11.764051680717667,1.8404875469494977,,,
,,,hourly_ikebukuro,,8.0,3465.550340648492,880.0066636632695,3903.86413466266,763.6404536292263,15.004524187492972,3.81454714919455,,,
,,,hourly_ikebukuro,,9.0,1818.064854184787,723.7320633953761,1909.9871144630602,706.7940890327621,7.910922324010643,3.1503728604639836,,,
,,,hourly_ikebukuro,,10.0,1924.7882587790514,727.7313057601885,2240.789202820414,745.8043458194845,7.5296670416019085,2.849179598798545,,,
,,,hourly_ikebukuro,,11.0,1153.4787327925364,278.8721829583395,1378.7682891537077,414.57082067759353,3.9433643433398564,0.960845219661709,,,
,,,hourly_ikebukuro,,12.0,2589.7950673282126,733.944584182047,2784.612900441168,770.9107046915195,7.3483764511756275,2.0869352540824546,,,
