metric,mean,std,section,station,hour,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
mae,1036.2866924180864,76.52808881210342,overall,,,,,,,,
rmse,1440.8092042574874,83.42031389568353,overall,,,,,,,,
mape,8.532472731651575,1.308130242633321,overall,,,,,,,,
r2,0.9935582502012918,0.0007365710189617744,overall,,,,,,,,
mae,1470.4604831975455,110.44579713167728,per_station,ikebukuro,,,,,,,
rmse,1959.0362177349566,136.30608469591272,per_station,ikebukuro,,,,,,,
mape,7.168871325782232,0.8796581084463961,per_station,ikebukuro,,,,,,,
r2,0.9814817296415456,0.0025643146045494438,per_station,ikebukuro,,,,,,,
mae,848.8348829836241,132.98010127579474,per_station,nihonbashi,,,,,,,
rmse,1178.7014055282873,145.55037864608434,per_station,nihonbashi,,,,,,,
mape,11.23488005644295,1.9418862553884195,per_station,nihonbashi,,,,,,,
r2,0.9968413056385659,0.0007511904629653595,per_station,nihonbashi,,,,,,,
mae,720.515945017633,89.19283756418051,per_station,shibuya,,,,,,,
rmse,948.8723891147959,116.36313834795655,per_station,shibuya,,,,,,,
mape,7.490547201668846,1.5889441500481083,per_station,shibuya,,,,,,,
r2,0.9945116058562002,0.0013988104448343875,per_station,shibuya,,,,,,,
mae,1105.3354584735425,99.90374197493117,per_station,shinjuku,,,,,,,
rmse,1461.029412837866,144.05642721126458,per_station,shinjuku,,,,,,,
mape,8.235592342712279,1.558043387005079,per_station,shinjuku,,,,,,,
r2,0.9946548971279618,0.0010106586556914618,per_station,shinjuku,,,,,,,
,,,global_hourly,,0.0,923.4439070560504,255.59782193507434,1133.1078255307984,302.91870060695925,29.06352356002438,9.251516825952667
,,,global_hourly,,1.0,428.595836231031,165.38868275665118,545.1749116838215,215.6043603403317,20.808381894770896,7.33133885977084
,,,global_hourly,,2.0,371.06915665930137,127.37942489512922,449.89606309756755,129.7045006830904,17.09913055367513,5.518734217784533
,,,global_hourly,,3.0,443.0376389475074,157.46829974161977,550.6630005650962,174.16798044687312,19.307316354100642,7.389375068458942
,,,global_hourly,,4.0,435.8522325689904,153.1375590800869,535.6313398625696,161.5005945862626,19.31456309859496,7.117193056939548
,,,global_hourly,,5.0,535.712126387097,198.54478009710837,668.3242334614276,204.98691975501387,19.115339489222464,8.025734904503045
,,,global_hourly,,6.0,833.5332016391216,176.3131419603819,1052.4871369480654,230.33456429324417,17.280358359200118,4.1161882001086
